Scenario3
Configuration ID,Run #,Body Centroid Distance [m],# Steps,Final Epsilon,# Expanded States,Planning Time [s],Path Cost
ViGIR_ C,0,6.292169395999273,83,1.600000023841858,3893,61.21548843383789,7.46353816986084
ViGIR_ C,1,6.292169395999273,83,1.600000023841858,3932,61.23833084106445,7.46353816986084
ViGIR_ C,2,6.292169395999273,83,1.600000023841858,3464,61.398414611816406,7.46353816986084
ViGIR_ C,3,6.292169395999273,83,1.600000023841858,3386,61.435665130615234,7.46353816986084
ViGIR_ C,4,6.291788018685671,83,1.600000023841858,3105,61.60446548461914,7.46353816986084
Configuration ID,,Average Body Centroid Distance [m],Average # Steps,Average Final Epsilon,Average # Expanded States,Average Planning Time [s],Average Path Cost
ViGIR_C,,6.292093120536553,83,1.600000023841858,3556,61.378472900390626,1.600000023841858
