Scenario4
Configuration ID,Run #,Body Centroid Distance [m],# Steps,Final Epsilon,# Expanded States,Planning Time [s],Path Cost
ViGIR_ C,0,5.557817047472465,173,1.7999999523162842,3041,63.4702262878418,15.406326293945312
ViGIR_ C,1,5.5434004225815325,173,1.7999999523162842,2811,63.69805145263672,15.391539573669434
ViGIR_ C,2,5.5434004225815325,173,1.7999999523162842,2821,63.73674392700195,15.391539573669434
ViGIR_ C,3,5.538818179340584,173,1.7999999523162842,2552,64.30797576904297,15.387462615966797
ViGIR_ C,4,5.524324848529817,173,1.7999999523162842,2418,64.1976547241211,15.373991966247559
Configuration ID,,Average Body Centroid Distance [m],Average # Steps,Average Final Epsilon,Average # Expanded States,Average Planning Time [s],Average Path Cost
ViGIR_C,,5.541552184101187,173,1.7999999523162842,2728,63.8821304321289,1.7999999523162842
